id,type,src,dst,app,latency,message,ctime,size,buffer
91,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1115.0005,5000,0
91,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1115.0005,20000000,1
94,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1115.0005,5000,2
94,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1115.0005,20000000,3
97,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1115.0005,5000,4
97,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1115.0005,20000000,5
92,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1120.0005,5000,6
92,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1120.0005,20000000,7
95,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1120.0005,5000,8
95,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1120.0005,20000000,9
98,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1120.0005,5000,10
98,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1120.0005,20000000,11
93,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1125.0005,5000,9
93,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1125.0005,20000000,10
96,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1125.0005,5000,11
96,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1125.0005,20000000,12
99,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1125.0005,5000,13
99,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1125.0005,20000000,14
100,LINK,4,1,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,0
101,LINK,5,1,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,1
102,LINK,6,1,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,2
103,LINK,7,2,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,3
104,LINK,8,2,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,4
105,LINK,9,2,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,5
106,LINK,10,3,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,6
107,LINK,11,3,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,7
108,LINK,12,3,water_pipe_control,10.0005,sensor_to_cloudlet,1200,10000,8
100,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1215.0005,5000,0
100,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1215.0005,20000000,1
103,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1215.0005,5000,2
103,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1215.0005,20000000,3
106,LINK,3,10,water_pipe_control,10.00025,cloudlet_to_valve,1215.0005,5000,4
106,LINK,3,0,water_pipe_control,6.0,cloudlet_to_cloud,1215.0005,20000000,5
101,LINK,1,4,water_pipe_control,10.00025,cloudlet_to_valve,1220.0005,5000,6
101,LINK,1,0,water_pipe_control,6.0,cloudlet_to_cloud,1220.0005,20000000,7
104,LINK,2,7,water_pipe_control,10.00025,cloudlet_to_valve,1220.0005,5000,8
104,LINK,2,0,water_pipe_control,6.0,cloudlet_to_cloud,1220.0005,20000000,9
